Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000106571.14	-1.46032995921629	1.32519290568949	-1.54040522951223	0.172109327889461	0.478539730977628	-5.05766692935983
ENSG00000006756.16	-0.72229562786432	4.81628913875053	-1.54009926942918	0.172182410672376	0.478680927999294	-5.46051842180505
ENSG00000213326.4	-1.20557023012101	1.99004508228374	-1.53995088818548	0.172217864016038	0.47871748913549	-5.11799940992758
ENSG00000197498.13	-0.788371257578838	5.26429363059644	-1.53972217206824	0.172272525460441	0.478807427037209	-5.49357770714196
ENSG00000137558.9	1.06074785824871	2.57757419604027	1.53938120660123	0.172354043751264	0.478971976841128	-5.18075967806353
ENSG00000256443.1	1.76453502390887	-0.0201347173688637	1.53921741820835	0.172393215218419	0.479018817432151	-4.94473994261786
ENSG00000100583.4	1.83736433719015	-0.0920806952617932	1.53904299920603	0.172434938233819	0.479072734816067	-4.94024906047495
ENSG00000243708.10	1.23761777061764	4.15958260717819	1.53873642027139	0.172508298272166	0.479214523412973	-5.36457019160026
ENSG00000157017.16	1.80613022451326	-0.633497082524407	1.53836659154041	0.172596831888529	0.47929617713413	-4.90355996293786
ENSG00000241878.11	0.917526155282993	5.62055330934591	1.53836306820882	0.172597675545913	0.47929617713413	-5.49604584397151
ENSG00000066032.18	4.40238276975718	-0.462804909570898	1.53833381776947	0.172604679676069	0.47929617713413	-4.88526810159319
ENSG00000173068.18	1.70661718135778	0.619506877639399	1.53805337886692	0.172671845322504	0.479367622530811	-4.99608228029119
ENSG00000274191.1	1.52620874347775	-1.44454489105988	1.53803990179849	0.172675073720393	0.479367622530811	-4.84752455237692
ENSG00000159884.12	-0.738172742825438	4.49332203752427	-1.53783255632478	0.172724749912702	0.479417393536141	-5.43197835095599
ENSG00000270277.1	-1.74715775131923	-1.21614857901425	-1.53777863095742	0.172737671633288	0.479417393536141	-4.86773858050381
ENSG00000175309.15	-0.724409457205453	5.2694375561184	-1.53760266572015	0.172779843107001	0.479436711923512	-5.49677328521998
ENSG00000239332.6	1.60946894368769	-1.07729694077117	1.53756319592813	0.172789303677628	0.479436711923512	-4.87395900805842
ENSG00000110925.7	0.730528651276216	4.75674521492901	1.53712687731514	0.17289391773812	0.47966497922305	-5.44238249512704
ENSG00000198205.6	1.11929350420324	1.39107044543512	1.53698919502021	0.172926941446652	0.47969459784859	-5.06877472583616
ENSG00000109452.12	-1.31703661010503	1.92749113236397	-1.53676178960075	0.172981498540355	0.479783934121813	-5.11570309911386
ENSG00000238243.3	-2.64854922630834	-2.60442257093457	-1.53597006452823	0.173171567587748	0.480249056624162	-4.77966193635921
ENSG00000100151.16	-0.715311032482934	5.34984151617362	-1.53569062801429	0.173238698306185	0.48037316356314	-5.50383391382966
ENSG00000283761.1	-1.54496188283734	2.00627008015685	-1.53534034504953	0.173322883202162	0.480405757992652	-5.12533842475291
ENSG00000006712.15	0.676714016755112	5.35657150711406	1.53530571521367	0.17333120800177	0.480405757992652	-5.4918656651482
ENSG00000244055.2	1.24504853328604	2.50753833021644	1.53500979179333	0.173402361393284	0.480405757992652	-5.17795292593036
ENSG00000166595.12	-0.867609275768727	5.68572791230497	-1.53487183089865	0.173435542755796	0.480405757992652	-5.51949123811974
ENSG00000132359.15	1.09173565275426	5.84097373106048	1.53486789026525	0.173436490615647	0.480405757992652	-5.50400803605211
ENSG00000171307.19	-0.886062977609848	4.78374229442999	-1.53484779574327	0.173441324124607	0.480405757992652	-5.46346537718188
ENSG00000159433.12	1.39192239467594	3.12642088931962	1.53471706473404	0.173472773052958	0.480405757992652	-5.24566160930458
ENSG00000185522.9	-1.1045847816354	2.84828835096839	-1.53469313749852	0.173478529615474	0.480405757992652	-5.22172127660644
ENSG00000082684.16	1.52517935575019	1.37765902154475	1.53465061049057	0.173488761466423	0.480405757992652	-5.06952883056888
ENSG00000163541.12	-0.690170576052923	6.38013494007018	-1.5345594073337	0.173510706529294	0.480405757992652	-5.53130661451194
ENSG00000134775.15	1.22269678224039	2.34063406655387	1.53427200396268	0.173579877713645	0.480405757992652	-5.16102163889186
ENSG00000078177.14	1.24406472955767	3.59429648424348	1.53410316321734	0.17362052567946	0.480405757992652	-5.30163742917949
ENSG00000196415.10	-3.99829335481096	0.252264298124291	-1.53401944877886	0.173640683003972	0.480405757992652	-4.96590530274472
ENSG00000105011.9	1.07132786370421	4.12804847105483	1.53399630271021	0.173646256655093	0.480405757992652	-5.3687856190632
ENSG00000076053.10	0.743345675417956	4.26017467113059	1.53391938097847	0.173664780865837	0.480405757992652	-5.39372562673936
ENSG00000184619.6	1.47137828046758	1.9484875463135	1.53373057412665	0.173710256951049	0.480405757992652	-5.12351097326396
ENSG00000075223.14	-2.46680727746769	2.55636007319261	-1.53371079314767	0.173715022047599	0.480405757992652	-5.18547647136432
ENSG00000118058.22	0.971227148390755	6.06281772731368	1.53370055452935	0.173717488505522	0.480405757992652	-5.51207940169961
ENSG00000130811.12	-0.816923198475028	6.64981925306613	-1.53368649631587	0.173720875147735	0.480405757992652	-5.5278174159444
ENSG00000221953.5	-1.61135875076879	-0.176468711968306	-1.53365288902864	0.173728971437303	0.480405757992652	-4.94935878389894
ENSG00000146576.13	-0.823156073150579	4.39980079234933	-1.53363530566993	0.173733207562553	0.480405757992652	-5.42672232800406
ENSG00000113716.13	-0.84755383743933	6.10456299193461	-1.53349695073632	0.173766542943026	0.480405757992652	-5.53150725737838
ENSG00000229896.2	-1.8228205396665	-0.516216875703369	-1.53335000728439	0.173801954184492	0.480405757992652	-4.92324495609229
ENSG00000117020.18	1.45647731275309	4.94035151218565	1.53319691219987	0.173838855041098	0.480405757992652	-5.44235191785172
ENSG00000255052.5	1.62057958700369	1.87385534857588	1.53314685877855	0.173850921116492	0.480405757992652	-5.11746418484919
ENSG00000011600.12	-0.898988180786859	5.02428468918217	-1.53311602054996	0.17385835549061	0.480405757992652	-5.48525205733525
ENSG00000112039.5	0.987800084024562	3.47449810063061	1.53307316818765	0.173868686683178	0.480405757992652	-5.29410406193446
ENSG00000274383.1	-1.37668567342597	1.83731586201845	-1.53303819878596	0.173877117812481	0.480405757992652	-5.11159418415288
ENSG00000013375.16	-0.66870633528379	5.86873860787035	-1.53292811231185	0.173903662172274	0.480417259784795	-5.52811130853929
ENSG00000127241.16	-0.852830067191502	6.0583441963888	-1.53270070082536	0.173958508238968	0.480457968593719	-5.5319161829241
ENSG00000250462.8	0.775942312009145	4.31941022260489	1.53268139623239	0.173963164775699	0.480457968593719	-5.40091540040052
ENSG00000273117.1	1.55464900662758	0.891029094001399	1.53229771602181	0.174055737909753	0.480593299793643	-5.02736999351801
ENSG00000162620.16	1.49599339273176	-0.609255949093706	1.53222247826961	0.174073896421726	0.480593299793643	-4.91421039225344
ENSG00000113580.15	0.79921304550784	4.77756123053147	1.53216845351341	0.174086936300688	0.480593299793643	-5.44907937091756
ENSG00000102580.15	-0.648402748236176	5.93885602461517	-1.53210719327998	0.174101723698829	0.480593299793643	-5.53087456506969
ENSG00000276550.4	0.816579987601445	7.42634705387188	1.53158528172596	0.174227753657359	0.480846025824025	-5.49275665170964
ENSG00000113838.13	1.00050420930492	3.38102517073529	1.53154253386762	0.174238080077301	0.480846025824025	-5.28572209614102
ENSG00000180376.17	0.755896029709369	4.2033203672482	1.53141885075552	0.174267960900196	0.480866664188547	-5.39018810443229
ENSG00000139428.12	-1.27419861589999	5.55319854478793	-1.53121456153734	0.174317325960941	0.480941054209717	-5.51575169075807
ENSG00000271662.1	2.37727488682116	0.655699783020497	1.53109011770491	0.174347403333469	0.480962217266793	-5.00452246742749
ENSG00000147536.12	1.03128887577044	1.86304400880117	1.5309479166305	0.174381778455617	0.480973137306223	-5.11791575731026
ENSG00000184313.20	1.43809800088068	0.71168240699388	1.53086733006814	0.174401261936184	0.480973137306223	-5.01437777682185
ENSG00000105246.6	-1.33379126867631	1.10342547263737	-1.53079569141354	0.174418583777854	0.480973137306223	-5.05168162644476
ENSG00000135454.14	1.78503548276997	3.7341557400564	1.53042150479042	0.174509086167491	0.481108424331197	-5.30950034707708
ENSG00000012048.23	0.755936448592581	4.15231980930917	1.5304075131908	0.174512471085148	0.481108424331197	-5.38531510089451
ENSG00000250186.3	-2.86359932978347	-1.41756947553424	-1.53020070040962	0.174562511406259	0.481184577800866	-4.85752227332291
ENSG00000237883.2	1.26344319538512	-0.0214693118989412	1.52980486834539	0.17465832404895	0.481206422319502	-4.96019059431466
ENSG00000119778.15	0.794772489001399	3.68861099147679	1.52977762856745	0.174664919342541	0.481206422319502	-5.32839245619879
ENSG00000137801.11	-0.658684169030066	6.8490573727316	-1.52973228421728	0.174675898629118	0.481206422319502	-5.52716493343329
ENSG00000213024.11	-0.738011691364664	5.81744833682293	-1.52971815931258	0.174679318842114	0.481206422319502	-5.53063980865773
